key-value,latency,ops/sec,throughput(MB/s)
k16v16,24.22,242138.33,7.37
k16v32,25.06,231769.33,10.6
k16v64,25.29,231946.33,17.67
k16v128,27.18,215781.33,29.6
k16v256,27.28,215789.33,56.0
k16v512,31.22,186372.67,93.87
k16v1024,42.3,137125.33,136.0
k16v2048,81.62,71631.67,141.0
k16v3072,117.82,49682.33,146.3
k16v4096,214.44,27857.0,109.23
k16v5120,260.55,23098.67,113.17
k16v6144,289.06,20420.33,119.97
k16v7168,308.39,19256.33,131.93
k16v8192,555.06,10750.0,84.17
k128v16,25.52,229770.67,31.57
k128v32,25.05,230698.0,35.2
k128v64,25.99,226074.0,41.4
k128v128,26.31,221849.33,54.17
k128v256,29.41,200566.67,73.47
k128v512,35.32,165803.0,101.2
k128v1024,48.38,121544.33,133.53
k128v2048,83.33,70608.33,146.53
k128v3072,114.48,50794.67,155.03
k128v4096,220.58,27261.33,109.83
k128v5120,270.42,22098.33,110.6
k128v6144,295.96,20050.0,119.93
k128v7168,350.5,16977.67,118.13
k128v8192,501.12,11847.0,94.0
k256v16,27.47,213483.0,55.37
k256v32,27.9,210534.33,57.83
k256v64,28.13,207193.67,63.23
k256v128,29.28,200461.0,73.4
k256v256,31.52,185822.33,90.73
k256v512,38.79,150969.33,110.57
k256v1024,51.57,112702.0,137.55
k256v2048,86.18,67863.67,149.1
k256v3072,119.65,49118.33,155.9
k256v4096,207.77,28708.0,119.17
k256v5120,236.69,25031.33,128.33
k256v6144,295.37,20058.0,122.43
k256v7168,359.83,16807.0,119.0
k256v8192,489.46,12082.0,97.33
k1024v16,44.75,128662.67,127.63
k1024v32,45.62,127872.67,128.8
k1024v64,46.72,125034.33,129.73
k1024v128,48.65,117281.67,128.87
k1024v256,51.73,111955.33,136.67
k1024v512,59.21,97624.0,142.97
k1024v1024,101.02,61551.67,120.2
k1024v2048,119.68,49051.67,143.73
k1024v3072,217.03,27702.33,108.23
k1024v4096,268.08,22168.0,108.27
k1024v5120,290.45,20432.67,119.73
k1024v6144,331.76,17615.33,120.43
k1024v7168,505.81,11865.0,92.7
k1024v8192,572.93,10412.0,91.5
