key-value,latency,ops/sec,throughput(MB/s)
k16v16,22.08,263173.4,8.04
k16v32,23.49,247153.2,11.32
k16v64,24.57,238270.6,18.16
k16v128,24.04,242845.0,33.36
k16v256,26.24,223578.8,58.0
k16v512,32.04,182878.8,92.1
k16v1024,46.16,125203.6,124.18
k16v2048,78.37,73819.6,145.32
k16v3072,114.94,51445.0,151.52
k16v4096,207.22,28785.2,112.88
k16v5120,222.41,26680.2,130.68
k16v6144,321.53,18187.6,106.84
k16v7168,441.87,13454.6,92.16
k16v8192,621.19,9507.8,74.4
k128v16,27.7,216696.4,29.74
k128v32,25.49,229432.8,35.02
k128v64,26.44,222155.8,40.68
k128v128,27.04,216932.2,52.96
k128v256,29.61,196754.4,72.04
k128v512,35.23,165064.2,100.76
k128v1024,47.47,122958.0,135.08
k128v2048,80.14,73171.0,151.84
k128v3072,121.24,49390.6,150.74
k128v4096,169.05,34812.4,140.26
k128v5120,218.45,26931.6,134.8
k128v6144,299.49,19635.4,117.42
k128v7168,419.92,14049.4,97.76
k128v8192,471.47,12575.0,99.8
k256v16,27.39,213430.2,55.36
k256v32,28.32,208143.8,57.18
k256v64,28.08,207946.4,63.48
k256v128,29.88,197058.6,72.16
k256v256,31.8,182771.2,89.24
k256v512,39.93,147036.0,107.7
k256v1024,53.3,110160.2,134.48
k256v2048,84.15,69245.8,152.16
k256v3072,137.86,44113.2,140.02
k256v4096,177.55,33268.2,138.08
k256v5120,240.32,24746.5,126.88
k256v6144,293.05,20173.0,123.1
k256v7168,377.36,15758.4,111.58
k256v8192,493.81,11829.2,95.32
k1024v16,45.0,128261.4,127.22
k1024v32,45.74,126960.8,127.86
k1024v64,52.92,114768.8,119.1
k1024v128,49.07,118792.8,130.52
k1024v256,52.47,110522.6,134.94
k1024v512,67.18,89603.8,131.26
k1024v1024,79.38,73605.8,143.78
k1024v2048,116.93,50510.0,147.98
k1024v3072,197.95,30407.2,118.8
k1024v4096,277.3,21898.8,106.92
k1024v5120,316.21,18939.0,110.98
k1024v6144,384.25,15363.0,105.02
k1024v7168,450.17,13184.0,103.02
k1024v8192,551.24,10810.8,95.02
